[2012-06-04 15:08:05] philgrayson.com.INFO: > GET /misc-tools/ [] []
[2012-06-04 15:08:05] philgrayson.com.INFO: < 200 [] []
[2012-06-04 15:08:32] philgrayson.com.INFO: > GET / [] []
[2012-06-04 15:08:32] philgrayson.com.INFO: < 200 [] []
[2012-06-04 15:17:31] philgrayson.com.INFO: > GET / [] []
[2012-06-04 15:17:31] philgrayson.com.INFO: < 200 [] []
ArrayArrayArrayArrayArrayArray[2012-06-04 16:09:47] philgrayson.com.INFO:  [] []
[2012-06-04 16:09:56] philgrayson.com.INFO:  [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-04 16:12:42] philgrayson.com.INFO:  [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-04 16:29:58] philgrayson.com.INFO:  [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-04 16:30:01] philgrayson.com.INFO:  [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-04 16:31:34] philgrayson.com.INFO: Array [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-04 16:31:42] philgrayson.com.INFO: Array [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-04 16:32:00] philgrayson.com.INFO: a:3:{s:15:"_sf2_attributes";a:0:{}s:12:"_sf2_flashes";a:0:{}s:9:"_sf2_meta";a:3:{s:1:"u";i:1338827520;s:1:"c";i:1338827494;s:1:"l";s:1:"0";}} [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
ArrayArrayArrayArrayArray[2012-06-09 12:47:49] philgrayson.com.INFO: phil [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-09 12:47:49] philgrayson.com.INFO: Array [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-09 12:47:55] philgrayson.com.INFO: phil [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-09 12:47:55] philgrayson.com.INFO: Array [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-09 12:48:34] philgrayson.com.INFO: phil [] {"url":"/","ip":"127.0.0.1","http_method":"GET","server":"philgrayson.com","referrer":"NULL"}
[2012-06-09 12:51:12] philgrayson.com.INFO: phil [] []
[2012-06-09 12:58:57] philgrayson.com.INFO: phil [] []
[2012-06-10 11:27:41] philgrayson.com.INFO: phil [] []
[2012-06-10 11:27:41] philgrayson.com.INFO: phil [] []
[2012-06-10 11:27:42] philgrayson.com.INFO: phil [] []
[2012-06-10 11:27:42] philgrayson.com.INFO: phil [] []
